long,lat,time,code
-78.442627,-0.096688,1434529769.0,140307
-2.002978,51.434713,1434529781.0,140858
-122.202786,37.750544,1434529782.0,140909
-117.160995,32.711747,1434529801.0,141828
-122.202786,37.750544,1434529803.0,141903
-81.28241,28.791639,1434529807.0,142105
-118.203839,33.991493,1434529807.0,142107
-122.241602,38.083993,1434529820.0,142811
-74.640944,40.136891,1434529839.0,143772
-99.889214,16.875122,1434529843.0,143962
-87.676348,41.832902,1434529846.0,144136
-79.952443,34.442951,1434529847.0,144214
-98.11168,26.193501,1434529848.0,144251
-84.452752,39.138948,1434529851.0,144403
-88.44213,42.597354,1434529853.0,144533
0.3886,46.56601,1434529876.0,145664
-97.777211,30.459543,1434529888.0,146285
106.79497,-6.23975,1434529894.0,146586
-58.562489,-34.609593,1434529895.0,146641
-78.442576,-0.096674,1434529896.0,146722
-111.939774,33.424225,1434529906.0,147212
-95.981328,41.30115,1434529916.0,147697
-70.699128,19.416946,1434529925.0,148168
120.963164,14.620468,1434529928.0,148277
-81.865079,41.321023,1434529935.0,148645
-76.848712,40.238113,1434529938.0,148824
-4.105243,40.942726,1434529948.0,149263
-80.903055,33.672497,1434529982.0,150856
-79.864309,-2.140872,1434529985.0,150990
120.994942,14.628724,1434529995.0,151425
-122.94044,45.51864,1434530017.0,152303
-81.557097,41.564382,1434530027.0,152722
-122.203071,37.750182,1434530037.0,153099
-122.212311,37.797188,1434530044.0,153324
-121.490548,38.569842,1434530047.0,153421
-5.930707,37.294702,1434530051.0,153566
-73.888163,40.865393,1434530063.0,153905
-84.591495,39.248354,1434530082.0,154478
125.528652,7.046516,1434530087.0,154588
-81.788087,41.450224,1434530089.0,154622
-122.422916,37.770006,1434530106.0,155099
-90.495235,30.559713,1434530108.0,155179
121.063327,14.644378,1434530109.0,155217
2.16946,48.68346,1434530111.0,155280
-122.202069,37.750906,1434530112.0,155316
125.5211,9.677246,1434530113.0,155353
-122.420373,37.788385,1434530115.0,155431
121.009016,14.622325,1434530119.0,155555
-46.733227,-23.669135,1434530125.0,155778
-121.897997,37.417952,1434530145.0,156416
-122.940489,45.518449,1434530146.0,156430
-84.725626,31.436503,1434530153.0,156639
-115.158008,36.233434,1434530167.0,157048
-84.477291,35.903478,1434530172.0,157263
-122.594293,45.502092,1434530182.0,157806
-86.774442,36.159332,1434530189.0,158160
-122.202786,37.750544,1434530190.0,158203
-106.525065,35.147135,1434530202.0,158801
-97.930362,36.389378,1434530206.0,159024
-83.029057,42.339994,1434530209.0,159186
125.649488,7.14269,1434530235.0,160530
-79.772671,35.664855,1434530237.0,160587
-115.15803,36.233459,1434530239.0,160693
-85.574771,38.232915,1434530239.0,160714
121.011092,14.651174,1434530242.0,160896
