long,lat,time,code
-69.010829,18.437868,1434540148.0,115257
-122.412044,37.769744,1434540173.0,116546
-46.763798,-23.516965,1434540178.0,116848
-64.662474,10.155571,1434540196.0,117757
-73.980499,40.676762,1434540215.0,118731
-122.342256,37.96392,1434540239.0,120012
-118.390964,33.977488,1434540269.0,121499
-74.004172,40.742297,1434540322.0,124263
-122.249145,37.808259,1434540333.0,124814
-64.662475,10.155569,1434540355.0,125953
-121.93242,37.36303,1434540384.0,127487
-72.758526,41.760092,1434540390.0,127771
-90.454717,14.671403,1434540390.0,127787
-118.463156,34.413162,1434540393.0,127930
-122.392206,37.778184,1434540413.0,128955
142.578797,44.94136,1434540413.0,128970
-70.664135,-33.34735,1434540441.0,130386
-122.502122,37.753812,1434540449.0,130812
142.578797,44.94136,1434540463.0,131526
-122.202786,37.750544,1434540469.0,131791
-73.962724,40.658486,1434540508.0,133812
